SENTENCE1,SENTENCE2,Interpretation,BERT,GPT-2
Some consumers would appreciate the stability.,Possibly all consumers would appreciate the stability.,Semantic,0.729359686,0.730796397
Some clients will need community nurse visits at home.,Possibly all clients will need community nurse visits at home.,Semantic,0.724340022,0.730989933
Some individuals are worth a great deal some very little.,Possibly all individuals are worth a great deal some very little.,Semantic,0.718285978,0.73098588
Some courses run at weekends or in the evenings and some during school hours.,Possibly all courses run at weekends or in the evenings and some during school hours.,Semantic,0.730257869,0.730932891
Some information should be secret.,Possibly all information should be secret.,Semantic,0.729995072,0.730768323
Some art societies only accept pictures for exhibition not less than 10_8.,Possibly all art societies only accept pictures for exhibition not less than 10_8.,Semantic,0.727290869,0.730995476
Some calcium is present in oranges.,Possibly all calcium is present in oranges.,Semantic,0.728527427,0.730979443
Some schemes involve a few elements of decentralisation.,Possibly all schemes involve a few elements of decentralisation.,Semantic,0.719597757,0.730955839
Some commentators see the unpopularity of the DUP 's stand on Sunday opening as part of the reason for its fall in votes in recent elections.,Possibly all commentators see the unpopularity of the DUP 's stand on Sunday opening as part of the reason for its fall in votes in recent elections.,Semantic,0.728879631,0.731010616
Some roads are under two feet of water.,Possibly all roads are under two feet of water.,Semantic,0.712495685,0.730919182
Some appraisal schemes developed from an interest in and experience of school self-evaluation.,Possibly all appraisal schemes developed from an interest in and experience of school self-evaluation.,Semantic,0.726176262,0.731005847
Some areas of the ground were very quiet against Blackburn on Saturday.,Possibly all areas of the ground were very quiet against Blackburn on Saturday.,Semantic,0.726705492,0.730925679
Some organizations had computing facilities.,Possibly all organizations had computing facilities.,Semantic,0.726878464,0.730742276
Some girls showed the way with this style.,Possibly all girls showed the way with this style.,Semantic,0.726072669,0.730965853
Some archaeologists dismiss all leys as merely chance alignments without proper statistical investigation.,Possibly all archaeologists dismiss all leys as merely chance alignments without proper statistical investigation.,Semantic,0.730982661,0.730992734
Some shoes require socks.,Possibly all shoes require socks.,Semantic,0.720698297,0.730837107
Some events have a magic.,Possibly all events have a magic.,Semantic,0.729007125,0.730684876
Some people do deals on the net income.,Possibly all people do deals on the net income.,Semantic,0.727077842,0.730916381
Some packaging such as paper and steel cans traditionally contains recycled materials.,Possibly all packaging such as paper and steel cans traditionally contains recycled materials.,Semantic,0.72891885,0.730989933
Some problems for planning arise from the operation of a Type I system itself.,Possibly all problems for planning arise from the operation of a Type I system itself.,Semantic,0.728181005,0.731031775
Some schools set their own versions of the tests.,Possibly all schools set their own versions of the tests.,Semantic,0.730214536,0.730914772
Some children are sick.,Possibly all children are sick.,Semantic,0.718094885,0.730809808
Some people are grateful.,Possibly all people are grateful.,Semantic,0.726702332,0.73072511
Some neo-Marxists emphasize that working-class political mobilization confronts special difficulties.,Possibly all neo-Marxists emphasize that working-class political mobilization confronts special difficulties.,Semantic,0.730439901,0.731015146
Some belief in angelic guardianship of national destiny survived until 1914 in England.,Possibly all belief in angelic guardianship of national destiny survived until 1914 in England.,Semantic,0.728620112,0.731026471
Some men play out their fantasies of power over women through their sexuality in the form of rape sexual harassment and other forms of sexual molestation of women.,Possibly all men play out their fantasies of power over women through their sexuality in the form of rape sexual harassment and other forms of sexual molestation of women.,Semantic,0.725516796,0.731022954
Some pollutants in the atmosphere act as catalysts in turn having enormous effects on other components of the atmosphere.,Possibly all pollutants in the atmosphere act as catalysts in turn having enormous effects on other components of the atmosphere.,Semantic,0.729550123,0.731026411
Some people have problems with maths.,Possibly all people have problems with maths.,Semantic,0.723694205,0.730865955
Some portion of the benefits may spill over to residents in another locality.,Possibly all portion of the benefits may spill over to residents in another locality.,Semantic,0.728901982,0.731003046
Some districts may have some knowledge.,Possibly all districts may have some knowledge.,Semantic,0.730274737,0.730759025
Some horses were receptive to such telepathic messages.,Possibly all horses were receptive to such telepathic messages.,Semantic,0.728926241,0.730875969
Some students called upon the access funds in the summer period.,Possibly all students called upon the access funds in the summer period.,Semantic,0.730339408,0.730995774
Some problems remain unresolved or unaddressed.,Possibly all problems remain unresolved or unaddressed.,Semantic,0.703330278,0.730870366
Some factors in the development of relationships may lie at the root of paedophiliac tendency.,Possibly all factors in the development of relationships may lie at the root of paedophiliac tendency.,Semantic,0.724662423,0.731002152
Some policemen came in.,Possibly all policemen came in.,Semantic,0.719514847,0.730269015
Some women experience more.,Possibly all women experience more.,Semantic,0.706791222,0.730891466
Some factors remain clear.,Possibly all factors remain clear.,Semantic,0.729446054,0.730628252
Some scholars think that all three belong to the same basic source or at the very least two sources.,Possibly all scholars think that all three belong to the same basic source or at the very least two sources.,Semantic,0.730622828,0.731028974
Some STM makers have their sights on other markets.,Possibly all STM makers have their sights on other markets.,Semantic,0.730540037,0.730984449
Some squares in the pattern may only match a square on the edge of the board.,Possibly all squares in the pattern may only match a square on the edge of the board.,Semantic,0.730684459,0.731003046
Some trends are discernible.,Possibly all trends are discernible.,Semantic,0.701798797,0.730489731
Some schemes incorporated these variations.,Possibly all schemes incorporated these variations.,Semantic,0.726668417,0.730733812
Some people are at risk.,Possibly all people are at risk.,Semantic,0.717584193,0.730851471
Some members of the US National Security Council again pressed the case for a more dynamic foreign policy in December 1954.,Possibly all members of the US National Security Council again pressed the case for a more dynamic foreign policy in December 1954.,Semantic,0.730741084,0.730984151
Some Brazilians regard BNDES as a relic of the 1950s useful in its day but no longer a major instrument of development policy.,Possibly all Brazilians regard BNDES as a relic of the 1950s useful in its day but no longer a major instrument of development policy.,Semantic,0.730415881,0.731031716
Some illiterates even scraped my name on the bonnet of my car.,Possibly all illiterates even scraped my name on the bonnet of my car.,Semantic,0.72898674,0.731008708
Some water got in at the front.,Possibly all water got in at the front.,Semantic,0.719041884,0.730923414
Some people really need them.,Possibly all people really need them.,Semantic,0.727945268,0.730621994
Some people do it every day.,Possibly all people do it every day.,Semantic,0.728132188,0.730802894
Some states counted administrative areas as urban units.,Possibly all states counted administrative areas as urban units.,Semantic,0.728926837,0.730941117
Some features of the urban pattern of 1880 are fairly clear.,Possibly all features of the urban pattern of 1880 are fairly clear.,Semantic,0.728472888,0.730999947
Some theists and atheists can talk to one another.,Possibly all theists and atheists can talk to one another.,Semantic,0.719108045,0.730974615
Some colleges and courses offer a training in the use of music in worship.,Possibly all colleges and courses offer a training in the use of music in worship.,Semantic,0.728905439,0.731030583
Some sins need a combination of external prompting and inner weakness.,Possibly all sins need a combination of external prompting and inner weakness.,Semantic,0.724032164,0.731001735
Some people call it a contribution to the safety net.,Possibly all people call it a contribution to the safety net.,Semantic,0.730935931,0.730980396
Some people are frightened.,Possibly all people are frightened.,Semantic,0.726739109,0.730760753
Some sounds look similar but sound different.,Possibly all sounds look similar but sound different.,Semantic,0.727626681,0.730996132
Some proteins serve as hormones such as growth hormone in animals.,Possibly all proteins serve as hormones such as growth hormone in animals.,Semantic,0.729641795,0.730496228
Some contractors pulled out after cash rows.,Possibly all contractors pulled out after cash rows.,Semantic,0.71295172,0.730882406
Some people are rather slow.,Possibly all people are rather slow.,Semantic,0.726087511,0.73079133
Some speakers emphasised the importance of crime prevention community liaison and education.,Possibly all speakers emphasised the importance of crime prevention community liaison and education.,Semantic,0.730441093,0.730949223
Some people might prefer it.,Possibly all people might prefer it.,Semantic,0.730459869,0.730793893
Some sunbathers went ahead regardless.,Possibly all sunbathers went ahead regardless.,Semantic,0.730633736,0.730960011
Some church-goers are impressed.,Possibly all church-goers are impressed.,Semantic,0.726790071,0.730762959
Some pupils are absent only on particular days of the week.,Possibly all pupils are absent only on particular days of the week.,Semantic,0.730474353,0.7309708
Some band members will contribute to the work.,Possibly all band members will contribute to the work.,Semantic,0.728974283,0.730884969
Some homes were high.,Possibly all homes were high.,Semantic,0.722598314,0.730708838
Some problems show up more markedly at smaller gatherings.,Possibly all problems show up more markedly at smaller gatherings.,Semantic,0.723810136,0.73097688
Some people take advice.,Possibly all people take advice.,Semantic,0.728515863,0.730740845
Some nurses bustled along.,Possibly all nurses bustled along.,Semantic,0.721261859,0.730799258
Some qualifications are in order.,Possibly all qualifications are in order.,Semantic,0.723311782,0.730932236
Some woods produce little heat and a lot of ash.,Possibly all woods produce little heat and a lot of ash.,Semantic,0.722921789,0.730969787
Some men must love their lady.,Possibly all men must love their lady.,Semantic,0.729050875,0.73093462
Some groups of bats specialize in one of them.,Possibly all groups of bats specialize in one of them.,Semantic,0.73071295,0.730968475
Some universities and colleges have the services of a chaplain.,Possibly all universities and colleges have the services of a chaplain.,Semantic,0.729258358,0.730966151
Some actors prefer the risks.,Possibly all actors prefer the risks.,Semantic,0.711526215,0.730853975
Some management procedures can not work very well in M and E as they can in civils.,Possibly all management procedures can not work very well in M and E as they can in civils.,Semantic,0.72473228,0.730995297
Some people raised concerns over.,Possibly all people raised concerns over.,Semantic,0.724156797,0.730817139
Some people under eighteen can claim his attention.,Possibly all people under eighteen can claim his attention.,Semantic,0.728380859,0.730934024
Some varieties will cope better with cold aspects.,Possibly all varieties will cope better with cold aspects.,Semantic,0.718462825,0.730972886
Some courses are good.,Possibly all courses are good.,Semantic,0.713172197,0.730686963
Some agencies recommend entirely the opposite.,Possibly all agencies recommend entirely the opposite.,Semantic,0.724710166,0.730876565
Some marriages are vulnerable.,Possibly all marriages are vulnerable.,Semantic,0.722935319,0.730734229
Some people write it.,Possibly all people write it.,Semantic,0.728543699,0.73078233
Some people chat it.,Possibly all people chat it.,Semantic,0.730805159,0.730756044
Some women were capable of the most startling changes.,Possibly all women were capable of the most startling changes.,Semantic,0.724710226,0.730959177
Some plans are natural.,Possibly all plans are natural.,Semantic,0.722354591,0.730756164
Some ladies work for the council.,Possibly all ladies work for the council.,Semantic,0.718832493,0.730962932
Some of the Paper 's suggestions will strike the observers as strange or unworkable.,Possibly all of the Paper 's suggestions will strike the observers as strange or unworkable.,Semantic,0.730684936,0.731020331
Some employees welcome a nudge in the right direction.,Possibly all employees welcome a nudge in the right direction.,Semantic,0.729145527,0.730958283
Some parents duck out of both of these.,Possibly all parents duck out of both of these.,Semantic,0.719819546,0.730980456
Some copies will soon be available on the black market at between 70 and 150 roubles.,Possibly all copies will soon be available on the black market at between 70 and 150 roubles.,Semantic,0.728951693,0.730997562
Some groups may need even more.,Possibly all groups may need even more.,Semantic,0.718933463,0.730629563
Some people need blood transfusions as part of ordinary medical treatment for various kinds of illnesses.,Possibly all people need blood transfusions as part of ordinary medical treatment for various kinds of illnesses.,Semantic,0.724911571,0.730974913
Some attitudes are negative.,Possibly all attitudes are negative.,Semantic,0.724197567,0.730642676
Some decisions are multiple.,Possibly all decisions are multiple.,Semantic,0.718700767,0.730698884
Some plants will always be plants part of the building blocks of creation.,Possibly all plants will always be plants part of the building blocks of creation.,Semantic,0.729711354,0.731010914
Some metal finishes are not obvious from their names.,Possibly all metal finishes are not obvious from their names.,Semantic,0.722092986,0.730989933
Some sections of an audience would hear one sound.,Possibly all sections of an audience would hear one sound.,Semantic,0.718705237,0.730973065
Some farmers spend much on workers.,Possibly all farmers spend much on workers.,Semantic,0.715710878,0.73089546
