SENTENCE1,SENTENCE2,QUD,BERT,GPT-2
Would all information be secret?,Some consumers would appreciate the stability.,Upper,0.005912642,5.575751305
Will all clients need community nurse visits at home?,Some clients will need community nurse visits at home.,Upper,0.000433956,5.724562645
Are all individuals worth a great deal all very little?,Some individuals are worth a great deal some very little.,Upper,0.000238268,5.91173172
Do all courses run at weekends or in the evenings and all during school hours?,Some courses run at weekends or in the evenings and some during school hours.,Upper,0.000203928,5.812190533
Should all information be secret?,Some information should be secret.,Upper,0.003813137,6.699260712
Do all art societies only accept pictures for exhibition not less than 10_8?,Some art societies only accept pictures for exhibition not less than 10_8.,Upper,0.000161542,6.237257004
Is all calcium present in oranges?,Some calcium is present in oranges.,Upper,0.000465621,7.19588089
Do all schemes involve a few elements of decentralisation?,Some schemes involve a few elements of decentralisation.,Upper,0.000189024,7.61374712
Do all commentators see the unpopularity of the DUP 's stand on Sunday opening as part of the reason for its fall in votes in recent elections?,Some commentators see the unpopularity of the DUP 's stand on Sunday opening as part of the reason for its fall in votes in recent elections.,Upper,0.000449222,4.653772354
Are all roads under two feet of water?,Some roads are under two feet of water.,Upper,0.000638987,7.137564182
Did all appraisal schemes develop from an interest in and experience of school self-evaluation?,Some appraisal schemes developed from an interest in and experience of school self-evaluation.,Upper,0.000147473,6.71146965
Were all areas of the ground very quiet against Blackburn on Saturday?,Some areas of the ground were very quiet against Blackburn on Saturday.,Upper,0.000165238,6.037722588
Did all organizations have computing facilities?,Some organizations had computing facilities.,Upper,0.004265991,7.893707752
Did all girls show the way with this style?,Some girls showed the way with this style.,Upper,0.001056215,5.496764183
Do all archaeologists dismiss all leys as merely chance alignments without proper statistical investigation?,Some archaeologists dismiss all leys as merely chance alignments without proper statistical investigation.,Upper,0.000241011,6.341878891
Do all shoes require socks?,Some shoes require socks.,Upper,0.000851397,6.595384121
Do all events have a magic?,Some events have a magic.,Upper,0.004149152,6.644459724
Do all people do deals on the net income?,Some people do deals on the net income.,Upper,0.000186282,7.571611404
Does all packaging such as paper and steel cans traditionally contain recycled materials?,Some packaging such as paper and steel cans traditionally contains recycled materials.,Upper,9.38E-05,6.600977421
Do all problems for planning arise from the operation of a Type I system itself?,Some problems for planning arise from the operation of a Type I system itself.,Upper,0.000299856,6.539400101
Did all schools set their own versions of the tests?,Some schools set their own versions of the tests.,Upper,0.000308084,7.089326382
Are all children sick?,Some children are sick.,Upper,0.000597178,7.416241646
Are all people grateful?,Some people are grateful.,Upper,0.001174722,5.879933357
Do all neo-Marxists emphasize that working-class political mobilization confronts special difficulties?,Some neo-Marxists emphasize that working-class political mobilization confronts special difficulties.,Upper,0.000193793,8.036929131
Did all belief in angelic guardianship of national destiny survive until 1914 in England?,Some belief in angelic guardianship of national destiny survived until 1914 in England.,Upper,0.000826999,6.301882744
Do all men play out their fantasies of power over women through their sexuality in the form of rape sexual harassment and other forms of sexual molestation of women?,Some men play out their fantasies of power over women through their sexuality in the form of rape sexual harassment and other forms of sexual molestation of women.,Upper,8.18E-05,6.179420948
Do all pollutants in the atmosphere act as catalysts in turn having enormous effects on other components of the atmosphere?,Some pollutants in the atmosphere act as catalysts in turn having enormous effects on other components of the atmosphere.,Upper,0.000119574,5.886237144
Do all people have problems with maths?,Some people have problems with maths.,Upper,0.001039807,7.453838825
May all portion of the benefits spill over to residents in another locality?,Some portion of the benefits may spill over to residents in another locality.,Upper,0.000335153,5.774748325
Could all districts possess certain knowledge?,Some districts may have some knowledge.,Upper,0.005816414,7.538047791
Were all horses receptive to such telepathic messages?,Some horses were receptive to such telepathic messages.,Upper,0.001294019,7.366776943
Did all students call upon the access funds in the summer period?,Some students called upon the access funds in the summer period.,Upper,0.000207625,6.984830856
Do all problems remain unresolved or unaddressed?,Some problems remain unresolved or unaddressed.,Upper,0.000144254,6.190218925
Could all factors in the development of relationships be at the root of a paedophiliac tendency?,Some factors in the development of relationships may lie at the root of paedophiliac tendency.,Upper,0.000422627,5.406836033
Did all policemen come in?,Some policemen came in.,Upper,0.001108128,8.019970894
Do all women experience more?,Some women experience more.,Upper,0.000416306,5.965630054
Do all factors remain clear?,Some factors remain clear.,Upper,0.000299499,5.968833923
Do all scholars think that all three belong to the same basic source or at the very least two sources?,Some scholars think that all three belong to the same basic source or at the very least two sources.,Upper,0.000359838,6.807103634
Do all STM makers have their sights on other markets?,Some STM makers have their sights on other markets.,Upper,0.00017722,5.762105942
Do all squares in the pattern only match a square on the edge of the board?,Some squares in the pattern may only match a square on the edge of the board.,Upper,0.000185686,5.009710312
Are all trends discernible?,Some trends are discernible.,Upper,0.000667735,6.854550362
Did all schemes incorporat these variations?,Some schemes incorporated these variations.,Upper,0.001286141,7.3004179
Are all people at risk?,Some people are at risk.,Upper,0.000339327,6.115940094
